类别：所有类别

日,virus: (美国)
2020-01-26,15
2020-01-27,17
2020-01-28,18
2020-01-29,17
2020-01-30,19
2020-01-31,20
2020-02-01,15
2020-02-02,11
2020-02-03,10
2020-02-04,10
2020-02-05,9
2020-02-06,10
2020-02-07,10
2020-02-08,9
2020-02-09,8
2020-02-10,8
2020-02-11,9
2020-02-12,8
2020-02-13,9
2020-02-14,8
2020-02-15,7
2020-02-16,7
2020-02-17,7
2020-02-18,7
2020-02-19,7
2020-02-20,6
2020-02-21,6
2020-02-22,6
2020-02-23,7
2020-02-24,10
2020-02-25,15
2020-02-26,20
2020-02-27,24
2020-02-28,24
2020-02-29,25
2020-03-01,21
2020-03-02,31
2020-03-03,29
2020-03-04,27
2020-03-05,32
2020-03-06,34
2020-03-07,33
2020-03-08,30
2020-03-09,38
2020-03-10,45
2020-03-11,58
2020-03-12,100
2020-03-13,90
2020-03-14,80
2020-03-15,74
2020-03-16,85
2020-03-17,81
2020-03-18,77
2020-03-19,73
2020-03-20,70
2020-03-21,66
2020-03-22,65
2020-03-23,58
2020-03-24,55
2020-03-25,55
2020-03-26,52
2020-03-27,50
2020-03-28,48
2020-03-29,43
2020-03-30,42
2020-03-31,39
2020-04-01,39
2020-04-02,37
2020-04-03,35
2020-04-04,34
2020-04-05,34
2020-04-06,32
2020-04-07,29
2020-04-08,26
2020-04-09,24
2020-04-10,23
2020-04-11,23
2020-04-12,21
2020-04-13,20
2020-04-14,20
2020-04-15,18
2020-04-16,18
2020-04-17,17
2020-04-18,16
2020-04-19,16
2020-04-20,15
2020-04-21,15
2020-04-22,15
2020-04-23,14
